Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
body,-0.0182501208826118,-0.00190049970240902,0.0863636963583089,0,0,0,4.35806806126274,0.0126554214449882,-1.94365827372157E-06,-0.000106200880503345,0.00838591116778958,-3.40121566836312E-07,0.00895360202585989,0,0,0,0,0,0,package://MOS9.2_urdf_0308-4/meshes/body.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://MOS9.2_urdf_0308-4/meshes/body.STL,,MOS9.2-BODY-00 胸腔装配-1/MOS9.2-BODY-001 胸腔底板-1;MOS9.2-BODY-00 胸腔装配-1/MOS9.2-BODY-002 胸腔上盖板-1;MOS9.2-BODY-00 胸腔装配-1/MOS9.2-BODY-003 胸腔内部背板支撑-1-1;MOS9.2-BODY-00 胸腔装配-1/MOS9.2-BODY-004 胸腔内部支撑-2-1;MOS9.2-BODY-00 胸腔装配-1/MOS9.2-BODY 前盖-1;MOS9.2-BODY-00 胸腔装配-1/MOS9.2-BODY-006 左肋板-1;MOS9.2-BODY-00 胸腔装配-1/MOS9.2-BODY 后盖-1;MOS9.2-BODY-00 胸腔装配-1/MOS9.2-BODY 躯体缓冲橡胶块-1;MOS9.2-BODY-00 胸腔装配-1/MOS9.2-BODY-006 右肋板-2;MOS9.2-BODY-00 胸腔装配-1/MOS9.2-BODY-007 胸腔外部缓冲支架-2;MOS9.2-BODY-00 胸腔装配-1/MOS9.2-BODY-007 胸腔外部缓冲支架-3;MOS9.2-BODY-00 胸腔装配-1/MOS9.2-BODY 躯体缓冲橡胶块-2;MOS9.2-BODY-00 胸腔装配-1/MOS9.2-BODY 躯体缓冲橡胶块-3;MOS9.2-BODY-00 胸腔装配-1/MOS9.2-BODY 躯体缓冲橡胶块-4;MOS9.2-BODY-00 胸腔装配-1/MOS9.2-BODY-008 电脑螺柱-2;MOS9.2-BODY-00 胸腔装配-1/MOS9.2-BODY-008 电脑螺柱-3;MOS9.2-BODY-00 胸腔装配-1/MOS9.2-BODY-008 电脑螺柱-4;MOS9.2-BODY-00 胸腔装配-1/MOS9.2-BODY-008 电脑螺柱-5;MOS9.2-BODY-00 胸腔装配-1/M5 螺栓-4;MOS9.2-BODY-00 胸腔装配-1/M5 螺栓-5;MOS9.2-BODY-00 胸腔装配-1/M5 螺栓-6;MOS9.2-BODY-00 胸腔装配-1/M5 螺栓-7;MOS9.2-BODY-00 胸腔装配-1/M3 螺栓-配平、弹垫-2;MOS9.2-BODY-00 胸腔装配-1/M3 螺栓-配平、弹垫-3;MOS9.2-BODY-00 胸腔装配-1/M3 螺栓-配平、弹垫-4;MOS9.2-BODY-00 胸腔装配-1/六角螺母-I型+平弹垫-2;MOS9.2-BODY-00 胸腔装配-1/六角螺母-I型+平弹垫-3;MOS9.2-BODY-00 胸腔装配-1/六角螺母-I型+平弹垫-4;MOS9.2-BODY-00 胸腔装配-1/六角螺母-I型+平弹垫-5;MOS9.2-BODY-00 胸腔装配-1/M3 螺栓-2;MOS9.2-BODY-00 胸腔装配-1/M3 螺栓-4;MOS9.2-BODY-00 胸腔装配-1/M3 螺栓-5;MOS9.2-BODY-00 胸腔装配-1/M3 螺栓-6;MOS9.2-BODY-00 胸腔装配-1/M3 螺栓-7;MOS9.2-BODY-00 胸腔装配-1/M3 螺栓-8;MOS9.2-BODY-00 胸腔装配-1/M3 螺栓-9;MOS9.2-BODY-00 胸腔装配-1/M3 螺栓-10;MOS9.2-BODY-00 胸腔装配-1/M3 螺栓-11;MOS9.2-BODY-00 胸腔装配-1/M3 螺栓-12;MOS9.2-BODY-00 胸腔装配-1/M3 螺栓-13;MOS9.2-BODY-00 胸腔装配-1/M3 螺栓-14;MOS9.2-BODY-00 胸腔装配-1/M3 螺栓-15;MOS9.2-BODY-00 胸腔装配-1/M3 螺栓-16;MOS9.2-BODY-00 胸腔装配-1/M3 螺栓-18;MOS9.2-BODY-00 胸腔装配-1/M3 螺栓-19;MOS9.2-BODY-00 胸腔装配-1/M3 螺栓-21;MOS9.2-BODY-00 胸腔装配-1/M3 螺栓-22;MOS9.2-BODY-00 胸腔装配-1/M3 螺栓-29;MOS9.2-BODY-00 胸腔装配-1/M3 螺栓-30;MOS9.2-BODY-00 胸腔装配-1/M3 螺栓-31;MOS9.2-BODY-00 胸腔装配-1/M3 螺栓-32;MOS9.2-BODY-00 胸腔装配-1/M3 螺栓-33;MOS9.2-BODY-00 胸腔装配-1/M3 螺栓-34;MOS9.2-BODY-00 胸腔装配-1/六角螺母-I型+平弹垫-6;MOS9.2-BODY-00 胸腔装配-1/六角螺母-I型+平弹垫-7;MOS9.2-BODY-00 胸腔装配-1/六角螺母-I型+平弹垫-8;MOS9.2-BODY-00 胸腔装配-1/六角螺母-I型+平弹垫-9;MOS9.2-BODY-00 胸腔装配-1/六角螺母-I型+平弹垫-10;MOS9.2-BODY-00 胸腔装配-1/六角螺母-I型+平弹垫-11;MOS9.2-BODY-00 胸腔装配-1/M3 螺栓-35;MOS9.2-BODY-00 胸腔装配-1/M3 螺栓-36;MOS9.2-BODY-00 胸腔装配-1/M3 螺栓-37;MOS9.2-BODY-00 胸腔装配-1/M3 螺栓-38;MOS9.2-BODY-00 胸腔装配-1/M3 螺栓-39;MOS9.2-BODY-00 胸腔装配-1/M3 螺栓-40;MOS9.2-BODY-00 胸腔装配-1/六角螺母-I型+平弹垫-12;MOS9.2-BODY-00 胸腔装配-1/六角螺母-I型+平弹垫-13;MOS9.2-BODY-00 胸腔装配-1/六角螺母-I型+平弹垫-14;MOS9.2-BODY-00 胸腔装配-1/六角螺母-I型+平弹垫-15;MOS9.2-BODY-00 胸腔装配-1/六角螺母-I型+平弹垫-16;MOS9.2-BODY-00 胸腔装配-1/六角螺母-I型+平弹垫-17;MOS9.2-BODY-00 胸腔装配-1/六角螺母-I型+平弹垫-18;MOS9.2-BODY-00 胸腔装配-1/六角螺母-I型+平弹垫-21;MOS9.2-BODY-00 胸腔装配-1/六角螺母-I型+平弹垫-22;MOS9.2-BODY-00 胸腔装配-1/六角螺母-I型+平弹垫-23;MOS9.2-BODY-00 胸腔装配-1/六角螺母-I型+平弹垫-24;MOS9.2-BODY-00 胸腔装配-1/六角螺母-I型+平弹垫-25;MOS9.2-BODY-00 胸腔装配-1/六角螺母-I型+平弹垫-26;MOS9.2-BODY-00 胸腔装配-1/六角螺母-I型+平弹垫-27;MOS9.2-BODY-00 胸腔装配-1/六角螺母-I型+平弹垫-28;MOS9.2-BODY-00 胸腔装配-1/六角螺母-I型+平弹垫-29;MOS9.2-BODY-00 胸腔装配-1/六角螺母-I型+平弹垫-30;MOS9.2-BODY-00 胸腔装配-1/六角螺母-I型+平弹垫-31;MOS9.2-BODY-00 胸腔装配-1/六角螺母-I型+平弹垫-32;MOS9.2-BODY-00 胸腔装配-1/六角螺母-I型+平弹垫-33;MOS9.2-BODY-00 胸腔装配-1/六角螺母-I型+平弹垫-35;MOS9.2-BODY-00 胸腔装配-1/六角螺母-I型+平弹垫-36;MOS9.2-BODY-00 胸腔装配-1/六角螺母-I型+平弹垫-37;MOS9.2-BODY-00 胸腔装配-1/六角螺母-I型+平弹垫-39;MOS9.2-BODY-00 胸腔装配-1/MOS9.2-BODY 惯导模块_N200(N300)-1;MOS9.2-BODY-00 胸腔装配-1/M3 螺栓-配平、弹垫-11;MOS9.2-BODY-00 胸腔装配-1/M3 螺栓-配平、弹垫-12;MOS9.2-BODY-00 胸腔装配-1/M3 螺栓-配平、弹垫-13;MOS9.2-BODY-00 胸腔装配-1/M3 螺栓-配平、弹垫-14;MOS9.2-BODY-00 胸腔装配-1/M3 螺栓-87;MOS9.2-BODY-00 胸腔装配-1/M3 螺栓-88;MOS9.2-BODY-00 胸腔装配-1/M3 螺栓-89;MOS9.2-BODY-00 胸腔装配-1/M3 螺栓-90;MOS9.2-BODY-00 胸腔装配-1/M3 螺栓-91;MOS9.2-BODY-00 胸腔装配-1/M3 螺栓-92;MOS9.2-BODY-00 胸腔装配-1/M3 螺栓-93;MOS9.2-BODY-00 胸腔装配-1/M3 螺栓-94;MOS9.2-BODY-00 胸腔装配-1/M3 螺栓-96;MOS9.2-BODY-00 胸腔装配-1/M3 螺栓-97;MOS9.2-BODY-00 胸腔装配-1/M3 螺栓-99;MOS9.2-BODY-00 胸腔装配-1/M3 螺栓-100;MOS9.2-BODY-00 胸腔装配-1/M3 螺栓-103;MOS9.2-BODY-00 胸腔装配-1/M3 螺栓-104;MOS9.2-BODY-00 胸腔装配-1/MOS9.2-BODY 头部限位-左右-1;MOS9.2-BODY-00 胸腔装配-1/M3 螺栓-106;MOS9.2-BODY-00 胸腔装配-1/EC-A4310-P2-36-TURN-1/EC-A4310-P2-36.STEP-1;MOS9.2-BODY-00 胸腔装配-1/EC-A4310-P2-36-TURN-2/EC-A4310-P2-36.STEP-1;MOS9.2-BODY-00 胸腔装配-1/EC-A4310-P2-36-TURN-3/EC-A4310-P2-36.STEP-1;MOS9.2-BODY-00 胸腔装配-1/MOS9.2-BODY-007 胸腔外部缓冲支架-4;MOS9.2-BODY-00 胸腔装配-1/MOS9.2-BODY 躯体缓冲橡胶块-5;MOS9.2-BODY-00 胸腔装配-1/MOS9.2-BODY 躯体缓冲橡胶块-6;MOS9.2-BODY-00 胸腔装配-1/MOS9.2-BODY 躯体缓冲橡胶块-7;MOS9.2-BODY-00 胸腔装配-1/MOS9.2-BODY-007 胸腔外部缓冲支架-5;MOS9.2-BODY-00 胸腔装配-1/MOS9.2-BODY 躯体缓冲橡胶块-8;MOS9.2-BODY-00 胸腔装配-1/M3 螺栓-配平、弹垫-8;MOS9.2-BODY-00 胸腔装配-1/M3 螺栓-配平、弹垫-9;MOS9.2-BODY-00 胸腔装配-1/M3 螺栓-配平、弹垫-10;MOS9.2-BODY-00 胸腔装配-1/M3 螺栓-45;MOS9.2-BODY-00 胸腔装配-1/M3 螺栓-46;MOS9.2-BODY-00 胸腔装配-1/M3 螺栓-47;MOS9.2-BODY-00 胸腔装配-1/M3 螺栓-48;MOS9.2-BODY-00 胸腔装配-1/M3 螺栓-49;MOS9.2-BODY-00 胸腔装配-1/M3 螺栓-50;MOS9.2-BODY-00 胸腔装配-1/M3 螺栓-51;MOS9.2-BODY-00 胸腔装配-1/M3 螺栓-52;MOS9.2-BODY-00 胸腔装配-1/M3 螺栓-53;MOS9.2-BODY-00 胸腔装配-1/M3 螺栓-54;MOS9.2-BODY-00 胸腔装配-1/M3 螺栓-55;MOS9.2-BODY-00 胸腔装配-1/M3 螺栓-56;MOS9.2-BODY-00 胸腔装配-1/M3 螺栓-57;MOS9.2-BODY-00 胸腔装配-1/M3 螺栓-58;MOS9.2-BODY-00 胸腔装配-1/M3 螺栓-59;MOS9.2-BODY-00 胸腔装配-1/M3 螺栓-60;MOS9.2-BODY-00 胸腔装配-1/M3 螺栓-61;MOS9.2-BODY-00 胸腔装配-1/M3 螺栓-62;MOS9.2-BODY-00 胸腔装配-1/M3 螺栓-63;MOS9.2-BODY-00 胸腔装配-1/M3 螺栓-64;MOS9.2-BODY-00 胸腔装配-1/M3 螺栓-65;MOS9.2-BODY-00 胸腔装配-1/M3 螺栓-66;MOS9.2-BODY-00 胸腔装配-1/M3 螺栓-67;MOS9.2-BODY-00 胸腔装配-1/M3 螺栓-68;MOS9.2-BODY-00 胸腔装配-1/M3 螺栓-69;MOS9.2-BODY-00 胸腔装配-1/六角螺母-I型+平弹垫-45;MOS9.2-BODY-00 胸腔装配-1/六角螺母-I型+平弹垫-46;MOS9.2-BODY-00 胸腔装配-1/六角螺母-I型+平弹垫-47;MOS9.2-BODY-00 胸腔装配-1/六角螺母-I型+平弹垫-48;MOS9.2-BODY-00 胸腔装配-1/六角螺母-I型+平弹垫-49;MOS9.2-BODY-00 胸腔装配-1/六角螺母-I型+平弹垫-50;MOS9.2-BODY-00 胸腔装配-1/六角螺母-I型+平弹垫-51;MOS9.2-BODY-00 胸腔装配-1/六角螺母-I型+平弹垫-52;MOS9.2-BODY-00 胸腔装配-1/六角螺母-I型+平弹垫-53;MOS9.2-BODY-00 胸腔装配-1/六角螺母-I型+平弹垫-54;MOS9.2-BODY-00 胸腔装配-1/六角螺母-I型+平弹垫-55;MOS9.2-BODY-00 胸腔装配-1/六角螺母-I型+平弹垫-56;MOS9.2-BODY-00 胸腔装配-1/六角螺母-I型+平弹垫-57;MOS9.2-BODY-00 胸腔装配-1/六角螺母-I型+平弹垫-58;MOS9.2-BODY-00 胸腔装配-1/六角螺母-I型+平弹垫-59;MOS9.2-BODY-00 胸腔装配-1/六角螺母-I型+平弹垫-60;MOS9.2-BODY-00 胸腔装配-1/六角螺母-I型+平弹垫-61;MOS9.2-BODY-00 胸腔装配-1/六角螺母-I型+平弹垫-62;MOS9.2-BODY-00 胸腔装配-1/M3 螺栓-70;MOS9.2-BODY-00 胸腔装配-1/M3 螺栓-71;MOS9.2-BODY-00 胸腔装配-1/六角螺母-I型+平弹垫-63;MOS9.2-BODY-00 胸腔装配-1/M3 螺栓-72;MOS9.2-BODY-00 胸腔装配-1/M3 螺栓-73;MOS9.2-BODY-00 胸腔装配-1/M3 螺栓-80;MOS9.2-BODY-00 胸腔装配-1/六角螺母-I型+平弹垫-64;MOS9.2-BODY-00 胸腔装配-1/六角螺母-I型+平弹垫-65;MOS9.2-BODY-00 胸腔装配-1/六角螺母-I型+平弹垫-66;MOS9.2-BODY-00 胸腔装配-1/六角螺母-I型+平弹垫-67;MOS9.2-BODY-00 胸腔装配-1/六角螺母-I型+平弹垫-68;MOS9.2-BODY-00 胸腔装配-1/六角螺母-I型+平弹垫-69;MOS9.2-BODY-00 胸腔装配-1/六角螺母-I型+平弹垫-70;MOS9.2-BODY-00 胸腔装配-1/六角螺母-I型+平弹垫-71;MOS9.2-BODY-00 胸腔装配-1/六角螺母-I型+平弹垫-72;MOS9.2-BODY-00 胸腔装配-1/六角螺母-I型+平弹垫-73;MOS9.2-BODY-00 胸腔装配-1/六角螺母-I型+平弹垫-74;MOS9.2-BODY-00 胸腔装配-1/MirrorMOS9.2-BODY-009 肩膀限位-2;电池抽屉-1;MOS9.2-LEG-00R 右腿装配-1/EC-A6408-P2-25-TURN-1/EC-A6408-P2-25.STEP-1;MOS9.2-LEG-00L 左腿装配-1/EC-A6408-P2-25-TURN-1/EC-A6408-P2-25.STEP-1;MOS9.2-LEG-00L 左腿装配-1/MOS9.2-LEG-001 大腿根部支撑-1;MOS9.2-LEG-00R 右腿装配-1/MOS9.2-LEG-001 大腿根部支撑-1,body,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
neck,-0.000187733021383862,0.00313210111852241,0.0367257386628151,0,0,0,0.243152851941267,0.000107527809141662,2.32844382833212E-09,-3.79598574699867E-07,0.000106047679861548,6.89109259403018E-06,0.000100507717987487,0,0,0,0,0,0,package://MOS9.2_urdf_0308-4/meshes/neck.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://MOS9.2_urdf_0308-4/meshes/neck.STL,,MOS9.2-HEAD-00 头部装配-1/MOS9.2-HEAD-001 脖子-1;MOS9.2-HEAD-00 头部装配-1/EC-A4310-P2-36-TURN-2/EC-A4310-P2-36.STEP-1;MOS9.2-HEAD-00 头部装配-1/MOS9.2-HEAD-003 脖子2-1;MOS9.2-HEAD-00 头部装配-1/MOS9.2-HEAD 头部限位-上下-1;MOS9.2-BODY-00 胸腔装配-1/EC-A4310-P2-36-TURN-1/EC-A4310-P2-36.OUT.STEP-1,body-neck,b-n,b_n,continuous,-0.005,0,0.2441,0,0,0,body,0,0,-1,,,,,,,,,,,,
head,-0.00148614977503109,0.0537575763860302,-0.0296115992755681,0,0,0,0.322467436272026,0.000786985359858465,8.48624102566507E-08,3.88916575671315E-09,0.000779452507232674,-7.57222414279963E-06,9.3920453594969E-05,0,0,0,0,0,0,package://MOS9.2_urdf_0308-4/meshes/head.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://MOS9.2_urdf_0308-4/meshes/head.STL,,MOS9.2-HEAD-00 头部装配-1/MOS9.2-HEAD-002 头部连接件-1;MOS9.2-HEAD-00 头部装配-1/MOS9.2-HEAD 相机外壳-1;MOS9.2-HEAD-00 头部装配-1/MOS9.2-HEAD ZED2i-1;MOS9.2-HEAD-00 头部装配-1/EC-A4310-P2-36-TURN-2/EC-A4310-P2-36.OUT.STEP-1,neck-head,n-h,n_h,continuous,0,-0.033,0.0475,1.5707963267949,0,0,neck,0,0,-1,,,,,,,,,,,,
Rshoulder,-0.00132059633693976,5.62178901126614E-05,-0.0337001041277888,0,0,0,0.244736730758832,0.000129373968243136,-8.60991135369166E-08,1.2078891148474E-05,8.79104114782035E-05,-2.4422653123027E-07,0.000106520121171402,0,0,0,0,0,0,package://MOS9.2_urdf_0308-4/meshes/Rshoulder.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://MOS9.2_urdf_0308-4/meshes/Rshoulder.STL,,MOS9.2-ARM-00R 右侧手臂装配-1/EC-A4310-P2-36-TURN-3/EC-A4310-P2-36.STEP-1;MOS9.2-ARM-00R 右侧手臂装配-1/MOS9.2-ARM-001 肩部关节(右)-1;MOS9.2-BODY-00 胸腔装配-1/EC-A4310-P2-36-TURN-3/EC-A4310-P2-36.OUT.STEP-1,body-Rshoulder,b-Rs,b_Rs,continuous,-0.0100000000000138,-0.105000000000124,0.192100000000112,1.5707963267949,0,-3.14159265358979,body,0,0,-1,,,,,,,,,,,,
Rarm,0.123976619673335,2.3816494963344E-05,0.0179849541694587,0,0,0,0.505922675972045,0.000249177335899191,2.41233180203102E-05,5.12994020146406E-05,0.000863279087734146,8.96071856183868E-06,0.000769798783434279,0,0,0,0,0,0,package://MOS9.2_urdf_0308-4/meshes/Rarm.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://MOS9.2_urdf_0308-4/meshes/Rarm.STL,,MOS9.2-ARM-00R 右侧手臂装配-1/MOS9.2-ARM-002 大臂(右)-1;MOS9.2-ARM-00R 右侧手臂装配-1/EC-A6408-P2-25-TURN-1/EC-A6408-P2-25.STEP-1;MOS9.2-ARM-00R 右侧手臂装配-1/EC-A4310-P2-36-TURN-3/EC-A4310-P2-36.OUT.STEP-1,Rshoulder-Rarm,Rs-Ra,Rs_Ra,continuous,-0.0250000000000136,0,-0.0489999999998756,0,1.5707963267949,0,Rshoulder,0,0,1,,,,,,,,,,,,
Rhand,0.109240589043814,0.000677471556759845,-0.00178541903634942,0,0,0,0.273862324070502,5.2613968285487E-05,4.01189603422068E-06,2.85280392770804E-05,0.000699576611389701,1.76848091002788E-07,0.000725679519367959,0,0,0,0,0,0,package://MOS9.2_urdf_0308-4/meshes/Rhand.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://MOS9.2_urdf_0308-4/meshes/Rhand.STL,,MOS9.2-ARM-00R 右侧手臂装配-1/MOS9.2-ARM-003 小臂-1;MOS9.2-ARM-00R 右侧手臂装配-1/MOS9.2-ARM 拳头-1;MOS9.2-ARM-00R 右侧手臂装配-1/EC-A6408-P2-25-TURN-1/EC-A6408-P2-25.OUT.STEP-1,Rarm-Rhand,Ra-Rh,Ra_Rh,continuous,0.16,0.0286499999999997,0.0299999999999999,1.5707963267949,0,0,Rarm,0,0,-1,,,,,,,,,,,,
Lshoulder,0.00132063035506957,5.63171682046171E-05,-0.0337001075421161,0,0,0,0.244736778509988,0.000129374049886736,8.53358338819827E-08,-1.20789422702937E-05,8.79120362451655E-05,-2.4164238223282E-07,0.000106518334762561,0,0,0,0,0,0,package://MOS9.2_urdf_0308-4/meshes/Lshoulder.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://MOS9.2_urdf_0308-4/meshes/Lshoulder.STL,,MOS9.2-ARM-00L 左侧手臂装配-1/MOS9.2-ARM-001 肩部关节(左)-1;MOS9.2-ARM-00L 左侧手臂装配-1/EC-A4310-P2-36-TURN-1/EC-A4310-P2-36.STEP-1;MOS9.2-BODY-00 胸腔装配-1/EC-A4310-P2-36-TURN-2/EC-A4310-P2-36.OUT.STEP-1,body-Lshouder,b-Ls,b_Ls,continuous,-0.00999998124092416,0.105000001016346,0.192100005298829,1.5707963267949,0,0,body,0,0,-1,,,,,,,,,,,,
Larm,0.123966814199197,2.38166802215833E-05,-0.017975150553097,0,0,0,0.505922690783429,0.000249179325079772,2.41233167513086E-05,-5.12994012520643E-05,0.000863279097732329,-8.96071866395451E-06,0.000769796795530053,0,0,0,0,0,0,package://MOS9.2_urdf_0308-4/meshes/Larm.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://MOS9.2_urdf_0308-4/meshes/Larm.STL,,MOS9.2-ARM-00L 左侧手臂装配-1/MOS9.2-ARM-002 大臂(左)-1;MOS9.2-ARM-00L 左侧手臂装配-1/EC-A6408-P2-25-TURN-1/EC-A6408-P2-25.STEP-1;MOS9.2-ARM-00L 左侧手臂装配-1/EC-A4310-P2-36-TURN-1/EC-A4310-P2-36.OUT.STEP-1,Lshoulder-Larm,Ls-La,Ls_La,continuous,0.0249999812409242,0,-0.0489999989836545,0,1.5707963267949,0,Lshoulder,0,0,-1,,,,,,,,,,,,
Lhand,-0.109242689903327,-2.67381965457503E-08,-0.00178541891944009,0,0,0,0.273862322424458,5.25890920084874E-05,-3.81681361599439E-10,-2.85285855769356E-05,0.000699601487073087,6.71512616747776E-11,0.000725679519010215,0,0,0,0,0,0,package://MOS9.2_urdf_0308-4/meshes/Lhand.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://MOS9.2_urdf_0308-4/meshes/Lhand.STL,,MOS9.2-ARM-00L 左侧手臂装配-1/MOS9.2-ARM-003 小臂-1;MOS9.2-ARM-00L 左侧手臂装配-1/MOS9.2-ARM 拳头-1;MOS9.2-ARM-00L 左侧手臂装配-1/EC-A6408-P2-25-TURN-1/EC-A6408-P2-25.OUT.STEP-1,Larm-Lhand,La-Lh,La_Lh,continuous,0.16,0.0286500000000008,-0.0299999999999989,-1.5707963267949,0,3.14159265358979,Larm,0,0,-1,,,,,,,,,,,,
Rhip,0.00165224983746645,-0.000153256597703239,-0.04716983324128,0,0,0,0.447922579537738,0.000336557260611948,6.73410632138989E-07,-1.54851819022286E-07,0.000175984295076371,-3.79544774009115E-08,0.00021248524943445,0,0,0,0,0,0,package://MOS9.2_urdf_0308-4/meshes/Rhip.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://MOS9.2_urdf_0308-4/meshes/Rhip.STL,,MOS9.2-LEG-00R 右腿装配-1/大腿根部^MOS9.2-LEG-00R 右腿装配-1/MOS9.2-LEG-003 臀部轴支撑-P2-1;MOS9.2-LEG-00R 右腿装配-1/EC-A6408-P2-25-TURN-3/EC-A6408-P2-25.STEP-1;MOS9.2-LEG-00R 右腿装配-1/EC-A6408-P2-25-TURN-1/EC-A6408-P2-25.OUT.STEP-1;MOS9.2-LEG-00R 右腿装配-1/大腿根部^MOS9.2-LEG-00R 右腿装配-1/MOS9.2-LEG-004 臀部轴支撑-P3-1;MOS9.2-LEG-00R 右腿装配-1/大腿根部^MOS9.2-LEG-00R 右腿装配-1/MOS9.2-LEG-002 臀部轴支撑-P1(右)-2,body-Rhip,b-Rh,b_Rh,continuous,-0.0150000000000001,-0.0645,-0.0466,1.5707963267949,0,3.14159265358979,body,0,0,1,,,,,,,,,,,,
