Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
body,-0.01659,-0.00137,0.08826,0,0,0,5.71912,0.08215553052,0.00011239289,0.00069285862,0.06587478666,-0.00017794141,0.03079655054,0,0,0,0,0,0,package://MOS9.2_urdf_0517-3/meshes/body.STL,1,1,1,1,0,0,0,0,0,0,package://MOS9.2_urdf_0517-3/meshes/body.STL,,MOS9.2-BODY-00 胸腔装配-1/MOS9.2-BODY-001 胸腔底板-1;MOS9.2-BODY-00 胸腔装配-1/MOS9.2-BODY-002 胸腔上盖板-1;MOS9.2-BODY-00 胸腔装配-1/MOS9.2-BODY-003 胸腔内部背板支撑-1-1;MOS9.2-BODY-00 胸腔装配-1/MOS9.2-BODY-004 胸腔内部支撑-2-1;MOS9.2-BODY-00 胸腔装配-1/MOS9.2-BODY 前盖-1;MOS9.2-BODY-00 胸腔装配-1/MOS9.2-BODY-006 左肋板-1;MOS9.2-BODY-00 胸腔装配-1/MOS9.2-BODY 后盖-1;MOS9.2-BODY-00 胸腔装配-1/MOS9.2-BODY 躯体缓冲橡胶块-1;MOS9.2-BODY-00 胸腔装配-1/MOS9.2-BODY-006 右肋板-2;MOS9.2-BODY-00 胸腔装配-1/MOS9.2-BODY-007 胸腔外部缓冲支架-2;MOS9.2-BODY-00 胸腔装配-1/MOS9.2-BODY-007 胸腔外部缓冲支架-3;MOS9.2-BODY-00 胸腔装配-1/MOS9.2-BODY 躯体缓冲橡胶块-2;MOS9.2-BODY-00 胸腔装配-1/MOS9.2-BODY 躯体缓冲橡胶块-3;MOS9.2-BODY-00 胸腔装配-1/MOS9.2-BODY 躯体缓冲橡胶块-4;MOS9.2-BODY-00 胸腔装配-1/MOS9.2-BODY-008 电脑螺柱-2;MOS9.2-BODY-00 胸腔装配-1/MOS9.2-BODY-008 电脑螺柱-3;MOS9.2-BODY-00 胸腔装配-1/MOS9.2-BODY-008 电脑螺柱-4;MOS9.2-BODY-00 胸腔装配-1/MOS9.2-BODY-008 电脑螺柱-5;MOS9.2-BODY-00 胸腔装配-1/M5 螺栓-4;MOS9.2-BODY-00 胸腔装配-1/M5 螺栓-5;MOS9.2-BODY-00 胸腔装配-1/M5 螺栓-6;MOS9.2-BODY-00 胸腔装配-1/M5 螺栓-7;MOS9.2-BODY-00 胸腔装配-1/M3 螺栓-配平、弹垫-2;MOS9.2-BODY-00 胸腔装配-1/M3 螺栓-配平、弹垫-3;MOS9.2-BODY-00 胸腔装配-1/M3 螺栓-配平、弹垫-4;MOS9.2-BODY-00 胸腔装配-1/六角螺母-I型+平弹垫-2;MOS9.2-BODY-00 胸腔装配-1/六角螺母-I型+平弹垫-3;MOS9.2-BODY-00 胸腔装配-1/六角螺母-I型+平弹垫-4;MOS9.2-BODY-00 胸腔装配-1/六角螺母-I型+平弹垫-5;MOS9.2-BODY-00 胸腔装配-1/M3 螺栓-2;MOS9.2-BODY-00 胸腔装配-1/M3 螺栓-4;MOS9.2-BODY-00 胸腔装配-1/M3 螺栓-5;MOS9.2-BODY-00 胸腔装配-1/M3 螺栓-6;MOS9.2-BODY-00 胸腔装配-1/M3 螺栓-7;MOS9.2-BODY-00 胸腔装配-1/M3 螺栓-8;MOS9.2-BODY-00 胸腔装配-1/M3 螺栓-9;MOS9.2-BODY-00 胸腔装配-1/M3 螺栓-10;MOS9.2-BODY-00 胸腔装配-1/M3 螺栓-11;MOS9.2-BODY-00 胸腔装配-1/M3 螺栓-12;MOS9.2-BODY-00 胸腔装配-1/M3 螺栓-13;MOS9.2-BODY-00 胸腔装配-1/M3 螺栓-14;MOS9.2-BODY-00 胸腔装配-1/M3 螺栓-15;MOS9.2-BODY-00 胸腔装配-1/M3 螺栓-16;MOS9.2-BODY-00 胸腔装配-1/M3 螺栓-18;MOS9.2-BODY-00 胸腔装配-1/M3 螺栓-19;MOS9.2-BODY-00 胸腔装配-1/M3 螺栓-21;MOS9.2-BODY-00 胸腔装配-1/M3 螺栓-22;MOS9.2-BODY-00 胸腔装配-1/M3 螺栓-29;MOS9.2-BODY-00 胸腔装配-1/M3 螺栓-30;MOS9.2-BODY-00 胸腔装配-1/M3 螺栓-31;MOS9.2-BODY-00 胸腔装配-1/M3 螺栓-32;MOS9.2-BODY-00 胸腔装配-1/M3 螺栓-33;MOS9.2-BODY-00 胸腔装配-1/M3 螺栓-34;MOS9.2-BODY-00 胸腔装配-1/六角螺母-I型+平弹垫-6;MOS9.2-BODY-00 胸腔装配-1/六角螺母-I型+平弹垫-7;MOS9.2-BODY-00 胸腔装配-1/六角螺母-I型+平弹垫-8;MOS9.2-BODY-00 胸腔装配-1/六角螺母-I型+平弹垫-9;MOS9.2-BODY-00 胸腔装配-1/六角螺母-I型+平弹垫-10;MOS9.2-BODY-00 胸腔装配-1/六角螺母-I型+平弹垫-11;MOS9.2-BODY-00 胸腔装配-1/M3 螺栓-35;MOS9.2-BODY-00 胸腔装配-1/M3 螺栓-36;MOS9.2-BODY-00 胸腔装配-1/M3 螺栓-37;MOS9.2-BODY-00 胸腔装配-1/M3 螺栓-38;MOS9.2-BODY-00 胸腔装配-1/M3 螺栓-39;MOS9.2-BODY-00 胸腔装配-1/M3 螺栓-40;MOS9.2-BODY-00 胸腔装配-1/六角螺母-I型+平弹垫-12;MOS9.2-BODY-00 胸腔装配-1/六角螺母-I型+平弹垫-13;MOS9.2-BODY-00 胸腔装配-1/六角螺母-I型+平弹垫-14;MOS9.2-BODY-00 胸腔装配-1/六角螺母-I型+平弹垫-15;MOS9.2-BODY-00 胸腔装配-1/六角螺母-I型+平弹垫-16;MOS9.2-BODY-00 胸腔装配-1/六角螺母-I型+平弹垫-17;MOS9.2-BODY-00 胸腔装配-1/六角螺母-I型+平弹垫-18;MOS9.2-BODY-00 胸腔装配-1/六角螺母-I型+平弹垫-21;MOS9.2-BODY-00 胸腔装配-1/六角螺母-I型+平弹垫-22;MOS9.2-BODY-00 胸腔装配-1/六角螺母-I型+平弹垫-23;MOS9.2-BODY-00 胸腔装配-1/六角螺母-I型+平弹垫-24;MOS9.2-BODY-00 胸腔装配-1/六角螺母-I型+平弹垫-25;MOS9.2-BODY-00 胸腔装配-1/六角螺母-I型+平弹垫-26;MOS9.2-BODY-00 胸腔装配-1/六角螺母-I型+平弹垫-27;MOS9.2-BODY-00 胸腔装配-1/六角螺母-I型+平弹垫-28;MOS9.2-BODY-00 胸腔装配-1/六角螺母-I型+平弹垫-29;MOS9.2-BODY-00 胸腔装配-1/六角螺母-I型+平弹垫-30;MOS9.2-BODY-00 胸腔装配-1/六角螺母-I型+平弹垫-31;MOS9.2-BODY-00 胸腔装配-1/六角螺母-I型+平弹垫-32;MOS9.2-BODY-00 胸腔装配-1/六角螺母-I型+平弹垫-33;MOS9.2-BODY-00 胸腔装配-1/六角螺母-I型+平弹垫-35;MOS9.2-BODY-00 胸腔装配-1/六角螺母-I型+平弹垫-36;MOS9.2-BODY-00 胸腔装配-1/六角螺母-I型+平弹垫-37;MOS9.2-BODY-00 胸腔装配-1/六角螺母-I型+平弹垫-39;MOS9.2-BODY-00 胸腔装配-1/MOS9.2-BODY 惯导模块_N200(N300)-1;MOS9.2-BODY-00 胸腔装配-1/M3 螺栓-配平、弹垫-11;MOS9.2-BODY-00 胸腔装配-1/M3 螺栓-配平、弹垫-12;MOS9.2-BODY-00 胸腔装配-1/M3 螺栓-配平、弹垫-13;MOS9.2-BODY-00 胸腔装配-1/M3 螺栓-配平、弹垫-14;MOS9.2-BODY-00 胸腔装配-1/M3 螺栓-87;MOS9.2-BODY-00 胸腔装配-1/M3 螺栓-88;MOS9.2-BODY-00 胸腔装配-1/M3 螺栓-89;MOS9.2-BODY-00 胸腔装配-1/M3 螺栓-90;MOS9.2-BODY-00 胸腔装配-1/M3 螺栓-91;MOS9.2-BODY-00 胸腔装配-1/M3 螺栓-92;MOS9.2-BODY-00 胸腔装配-1/M3 螺栓-93;MOS9.2-BODY-00 胸腔装配-1/M3 螺栓-94;MOS9.2-BODY-00 胸腔装配-1/M3 螺栓-96;MOS9.2-BODY-00 胸腔装配-1/M3 螺栓-97;MOS9.2-BODY-00 胸腔装配-1/M3 螺栓-99;MOS9.2-BODY-00 胸腔装配-1/M3 螺栓-100;MOS9.2-BODY-00 胸腔装配-1/M3 螺栓-103;MOS9.2-BODY-00 胸腔装配-1/M3 螺栓-104;MOS9.2-BODY-00 胸腔装配-1/MOS9.2-BODY 头部限位-左右-1;MOS9.2-BODY-00 胸腔装配-1/M3 螺栓-106;MOS9.2-BODY-00 胸腔装配-1/EC-A4310-P2-36-TURN-1/EC-A4310-P2-36.STEP-1;MOS9.2-BODY-00 胸腔装配-1/EC-A4310-P2-36-TURN-2/EC-A4310-P2-36.STEP-1;MOS9.2-BODY-00 胸腔装配-1/EC-A4310-P2-36-TURN-3/EC-A4310-P2-36.STEP-1;MOS9.2-BODY-00 胸腔装配-1/MOS9.2-BODY-007 胸腔外部缓冲支架-4;MOS9.2-BODY-00 胸腔装配-1/MOS9.2-BODY 躯体缓冲橡胶块-5;MOS9.2-BODY-00 胸腔装配-1/MOS9.2-BODY 躯体缓冲橡胶块-6;MOS9.2-BODY-00 胸腔装配-1/MOS9.2-BODY 躯体缓冲橡胶块-7;MOS9.2-BODY-00 胸腔装配-1/MOS9.2-BODY-007 胸腔外部缓冲支架-5;MOS9.2-BODY-00 胸腔装配-1/MOS9.2-BODY 躯体缓冲橡胶块-8;MOS9.2-BODY-00 胸腔装配-1/M3 螺栓-配平、弹垫-8;MOS9.2-BODY-00 胸腔装配-1/M3 螺栓-配平、弹垫-9;MOS9.2-BODY-00 胸腔装配-1/M3 螺栓-配平、弹垫-10;MOS9.2-BODY-00 胸腔装配-1/M3 螺栓-45;MOS9.2-BODY-00 胸腔装配-1/M3 螺栓-46;MOS9.2-BODY-00 胸腔装配-1/M3 螺栓-47;MOS9.2-BODY-00 胸腔装配-1/M3 螺栓-48;MOS9.2-BODY-00 胸腔装配-1/M3 螺栓-49;MOS9.2-BODY-00 胸腔装配-1/M3 螺栓-50;MOS9.2-BODY-00 胸腔装配-1/M3 螺栓-51;MOS9.2-BODY-00 胸腔装配-1/M3 螺栓-52;MOS9.2-BODY-00 胸腔装配-1/M3 螺栓-53;MOS9.2-BODY-00 胸腔装配-1/M3 螺栓-54;MOS9.2-BODY-00 胸腔装配-1/M3 螺栓-55;MOS9.2-BODY-00 胸腔装配-1/M3 螺栓-56;MOS9.2-BODY-00 胸腔装配-1/M3 螺栓-57;MOS9.2-BODY-00 胸腔装配-1/M3 螺栓-58;MOS9.2-BODY-00 胸腔装配-1/M3 螺栓-59;MOS9.2-BODY-00 胸腔装配-1/M3 螺栓-60;MOS9.2-BODY-00 胸腔装配-1/M3 螺栓-61;MOS9.2-BODY-00 胸腔装配-1/M3 螺栓-62;MOS9.2-BODY-00 胸腔装配-1/M3 螺栓-63;MOS9.2-BODY-00 胸腔装配-1/M3 螺栓-64;MOS9.2-BODY-00 胸腔装配-1/M3 螺栓-65;MOS9.2-BODY-00 胸腔装配-1/M3 螺栓-66;MOS9.2-BODY-00 胸腔装配-1/M3 螺栓-67;MOS9.2-BODY-00 胸腔装配-1/M3 螺栓-68;MOS9.2-BODY-00 胸腔装配-1/M3 螺栓-69;MOS9.2-BODY-00 胸腔装配-1/六角螺母-I型+平弹垫-45;MOS9.2-BODY-00 胸腔装配-1/六角螺母-I型+平弹垫-46;MOS9.2-BODY-00 胸腔装配-1/六角螺母-I型+平弹垫-47;MOS9.2-BODY-00 胸腔装配-1/六角螺母-I型+平弹垫-48;MOS9.2-BODY-00 胸腔装配-1/六角螺母-I型+平弹垫-49;MOS9.2-BODY-00 胸腔装配-1/六角螺母-I型+平弹垫-50;MOS9.2-BODY-00 胸腔装配-1/六角螺母-I型+平弹垫-51;MOS9.2-BODY-00 胸腔装配-1/六角螺母-I型+平弹垫-52;MOS9.2-BODY-00 胸腔装配-1/六角螺母-I型+平弹垫-53;MOS9.2-BODY-00 胸腔装配-1/六角螺母-I型+平弹垫-54;MOS9.2-BODY-00 胸腔装配-1/六角螺母-I型+平弹垫-55;MOS9.2-BODY-00 胸腔装配-1/六角螺母-I型+平弹垫-56;MOS9.2-BODY-00 胸腔装配-1/六角螺母-I型+平弹垫-57;MOS9.2-BODY-00 胸腔装配-1/六角螺母-I型+平弹垫-58;MOS9.2-BODY-00 胸腔装配-1/六角螺母-I型+平弹垫-59;MOS9.2-BODY-00 胸腔装配-1/六角螺母-I型+平弹垫-60;MOS9.2-BODY-00 胸腔装配-1/六角螺母-I型+平弹垫-61;MOS9.2-BODY-00 胸腔装配-1/六角螺母-I型+平弹垫-62;MOS9.2-BODY-00 胸腔装配-1/M3 螺栓-70;MOS9.2-BODY-00 胸腔装配-1/M3 螺栓-71;MOS9.2-BODY-00 胸腔装配-1/六角螺母-I型+平弹垫-63;MOS9.2-BODY-00 胸腔装配-1/M3 螺栓-72;MOS9.2-BODY-00 胸腔装配-1/M3 螺栓-73;MOS9.2-BODY-00 胸腔装配-1/M3 螺栓-80;MOS9.2-BODY-00 胸腔装配-1/六角螺母-I型+平弹垫-64;MOS9.2-BODY-00 胸腔装配-1/六角螺母-I型+平弹垫-65;MOS9.2-BODY-00 胸腔装配-1/六角螺母-I型+平弹垫-66;MOS9.2-BODY-00 胸腔装配-1/六角螺母-I型+平弹垫-67;MOS9.2-BODY-00 胸腔装配-1/六角螺母-I型+平弹垫-68;MOS9.2-BODY-00 胸腔装配-1/六角螺母-I型+平弹垫-69;MOS9.2-BODY-00 胸腔装配-1/六角螺母-I型+平弹垫-70;MOS9.2-BODY-00 胸腔装配-1/六角螺母-I型+平弹垫-71;MOS9.2-BODY-00 胸腔装配-1/六角螺母-I型+平弹垫-72;MOS9.2-BODY-00 胸腔装配-1/六角螺母-I型+平弹垫-73;MOS9.2-BODY-00 胸腔装配-1/六角螺母-I型+平弹垫-74;MOS9.2-BODY-00 胸腔装配-1/MirrorMOS9.2-BODY-009 肩膀限位-2;电池抽屉-1;MOS9.2-LEG-00R 右腿装配-1/EC-A6408-P2-25-TURN-1/EC-A6408-P2-25.STEP-1;MOS9.2-LEG-00L 左腿装配-1/EC-A6408-P2-25-TURN-1/EC-A6408-P2-25.STEP-1;MOS9.2-LEG-00L 左腿装配-1/MOS9.2-LEG-001 大腿根部支撑-1;MOS9.2-LEG-00R 右腿装配-1/MOS9.2-LEG-001 大腿根部支撑-1,body,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
neck,-9E-05,0.00177,0.04051,0,0,0,0.49351,0.00037010473,-1.81078E-06,1.5349E-07,0.00031264001,-1.466151E-05,0.00025221826,0,0,0,0,0,0,package://MOS9.2_urdf_0517-3/meshes/neck.STL,1,1,1,1,0,0,0,0,0,0,package://MOS9.2_urdf_0517-3/meshes/neck.STL,,MOS9.2-HEAD-00 头部装配-1/MOS9.2-HEAD-001 脖子-1;MOS9.2-HEAD-00 头部装配-1/EC-A4310-P2-36-TURN-2/EC-A4310-P2-36.STEP-1;MOS9.2-HEAD-00 头部装配-1/MOS9.2-HEAD-003 脖子2-1;MOS9.2-HEAD-00 头部装配-1/MOS9.2-HEAD 头部限位-上下-1;MOS9.2-BODY-00 胸腔装配-1/EC-A4310-P2-36-TURN-1/EC-A4310-P2-36.OUT.STEP-1,body-neck,b-n,b_n,continuous,-0.005,0,0.2441,0,0,0,body,0,0,-1,,,,,,,,,,,,
head,-0.00129,0.05235,-0.02903,0,0,0,0.39244,0.00107114424,3.47938E-06,-1.82382E-06,0.00095315085,6.519755E-05,0.00022380679,0,0,0,0,0,0,package://MOS9.2_urdf_0517-3/meshes/head.STL,1,1,1,1,0,0,0,0,0,0,package://MOS9.2_urdf_0517-3/meshes/head.STL,,MOS9.2-HEAD-00 头部装配-1/MOS9.2-HEAD-002 头部连接件-1;MOS9.2-HEAD-00 头部装配-1/MOS9.2-HEAD 相机外壳-1;MOS9.2-HEAD-00 头部装配-1/MOS9.2-HEAD ZED2i-1;MOS9.2-HEAD-00 头部装配-1/EC-A4310-P2-36-TURN-2/EC-A4310-P2-36.OUT.STEP-1,neck-head,n-h,n_h,continuous,0,-0.033,0.0475,1.5707963267949,0,0,neck,0,0,-1,,,,,,,,,,,,
Rshoulder,0.00336,2E-05,-0.03971,0,0,0,0.49509,0.00034690106,3.777E-07,4.312723E-05,0.00037773852,2.669E-07,0.00027378361,0,0,0,0,0,0,package://MOS9.2_urdf_0517-3/meshes/Rshoulder.STL,1,1,1,1,0,0,0,0,0,0,package://MOS9.2_urdf_0517-3/meshes/Rshoulder.STL,,MOS9.2-ARM-00R 右侧手臂装配-1/EC-A4310-P2-36-TURN-3/EC-A4310-P2-36.STEP-1;MOS9.2-ARM-00R 右侧手臂装配-1/MOS9.2-ARM-001 肩部关节(右)-1;MOS9.2-BODY-00 胸腔装配-1/EC-A4310-P2-36-TURN-3/EC-A4310-P2-36.OUT.STEP-1,body-Rshoulder,b-Rs,b_Rs,continuous,-0.0100000000000138,-0.105000000000124,0.192100000000112,1.5707963267949,0,-3.14159265358979,body,0,0,-1,,,,,,,,,,,,
Rarm,0.13444,-0.00076,0.02202,0,0,0,0.8121,0.00063172231,5.520271E-05,-0.00052298378,0.00292549166,1.803506E-05,0.00264363973,0,0,0,0,0,0,package://MOS9.2_urdf_0517-3/meshes/Rarm.STL,1,1,1,1,0,0,0,0,0,0,package://MOS9.2_urdf_0517-3/meshes/Rarm.STL,,MOS9.2-ARM-00R 右侧手臂装配-1/MOS9.2-ARM-002 大臂(右)-1;MOS9.2-ARM-00R 右侧手臂装配-1/EC-A6408-P2-25-TURN-1/EC-A6408-P2-25.STEP-1;MOS9.2-ARM-00R 右侧手臂装配-1/EC-A4310-P2-36-TURN-3/EC-A4310-P2-36.OUT.STEP-1,Rshoulder-Rarm,Rs-Ra,Rs_Ra,continuous,-0.0250000000000136,0,-0.0489999999998756,0,1.5707963267949,0,Rshoulder,0,0,1,,,,,,,,,,,,
Rhand,0.10556,0.00065,-0.0016,0,0,0,0.28342,5.584375E-05,-1.048883E-05,-4.890131E-05,0.00174723187,-3.0318E-07,0.0017725867,0,0,0,0,0,0,package://MOS9.2_urdf_0517-3/meshes/Rhand.STL,1,1,1,1,0,0,0,0,0,0,package://MOS9.2_urdf_0517-3/meshes/Rhand.STL,,MOS9.2-ARM-00R 右侧手臂装配-1/MOS9.2-ARM-003 小臂-1;MOS9.2-ARM-00R 右侧手臂装配-1/MOS9.2-ARM 拳头-1;MOS9.2-ARM-00R 右侧手臂装配-1/EC-A6408-P2-25-TURN-1/EC-A6408-P2-25.OUT.STEP-1,Rarm-Rhand,Ra-Rh,Ra_Rh,continuous,0.16,0.0286499999999997,0.0299999999999999,1.5707963267949,0,0,Rarm,0,0,-1,,,,,,,,,,,,
Lshoulder,-0.00336,2E-05,-0.03971,0,0,0,0.49509,0.00034690098,-3.7706E-07,-4.312733E-05,0.00037770345,2.8538E-07,0.00027381916,0,0,0,0,0,0,package://MOS9.2_urdf_0517-3/meshes/Lshoulder.STL,1,1,1,1,0,0,0,0,0,0,package://MOS9.2_urdf_0517-3/meshes/Lshoulder.STL,,MOS9.2-ARM-00L 左侧手臂装配-1/MOS9.2-ARM-001 肩部关节(左)-1;MOS9.2-ARM-00L 左侧手臂装配-1/EC-A4310-P2-36-TURN-1/EC-A4310-P2-36.STEP-1;MOS9.2-BODY-00 胸腔装配-1/EC-A4310-P2-36-TURN-2/EC-A4310-P2-36.OUT.STEP-1,body-Lshouder,b-Ls,b_Ls,continuous,-0.00999998124092416,0.105000001016346,0.192100005298829,1.5707963267949,0,0,body,0,0,-1,,,,,,,,,,,,
Larm,0.13443,-0.00076,-0.02201,0,0,0,0.8121,0.00063142858,5.528721E-05,0.00052266349,0.00292485114,-1.811955E-05,0.00264329294,0,0,0,0,0,0,package://MOS9.2_urdf_0517-3/meshes/Larm.STL,1,1,1,1,0,0,0,0,0,0,package://MOS9.2_urdf_0517-3/meshes/Larm.STL,,MOS9.2-ARM-00L 左侧手臂装配-1/MOS9.2-ARM-002 大臂(左)-1;MOS9.2-ARM-00L 左侧手臂装配-1/EC-A6408-P2-25-TURN-1/EC-A6408-P2-25.STEP-1;MOS9.2-ARM-00L 左侧手臂装配-1/EC-A4310-P2-36-TURN-1/EC-A4310-P2-36.OUT.STEP-1,Lshoulder-Larm,Ls-La,Ls_La,continuous,0.0249999812409242,0,-0.0489999989836545,0,1.5707963267949,0,Lshoulder,0,0,-1,,,,,,,,,,,,
Lhand,-0.10556,0,-0.0016,0,0,0,0.28342,5.577871E-05,5E-10,4.890225E-05,0.00174729692,-8E-11,0.0017725867,0,0,0,0,0,0,package://MOS9.2_urdf_0517-3/meshes/Lhand.STL,1,1,1,1,0,0,0,0,0,0,package://MOS9.2_urdf_0517-3/meshes/Lhand.STL,,MOS9.2-ARM-00L 左侧手臂装配-1/MOS9.2-ARM-003 小臂-1;MOS9.2-ARM-00L 左侧手臂装配-1/MOS9.2-ARM 拳头-1;MOS9.2-ARM-00L 左侧手臂装配-1/EC-A6408-P2-25-TURN-1/EC-A6408-P2-25.OUT.STEP-1,Larm-Lhand,La-Lh,La_Lh,continuous,0.16,0.0286500000000008,-0.0299999999999989,-1.5707963267949,0,3.14159265358979,Larm,0,0,-1,,,,,,,,,,,,
Rhip,0.00228,-9E-05,-0.05189,0,0,0,0.74781,0.00088577403,-2.58718E-06,2.336024E-05,0.0007223573,1.74445E-06,0.00048011483,0,0,0,0,0,0,package://MOS9.2_urdf_0517-3/meshes/Rhip.STL,1,1,1,1,0,0,0,0,0,0,package://MOS9.2_urdf_0517-3/meshes/Rhip.STL,,MOS9.2-LEG-00R 右腿装配-1/大腿根部^MOS9.2-LEG-00R 右腿装配-1/MOS9.2-LEG-003 臀部轴支撑-P2-1;MOS9.2-LEG-00R 右腿装配-1/EC-A6408-P2-25-TURN-3/EC-A6408-P2-25.STEP-1;MOS9.2-LEG-00R 右腿装配-1/EC-A6408-P2-25-TURN-1/EC-A6408-P2-25.OUT.STEP-1;MOS9.2-LEG-00R 右腿装配-1/大腿根部^MOS9.2-LEG-00R 右腿装配-1/MOS9.2-LEG-004 臀部轴支撑-P3-1;MOS9.2-LEG-00R 右腿装配-1/大腿根部^MOS9.2-LEG-00R 右腿装配-1/MOS9.2-LEG-002 臀部轴支撑-P1(右)-2,body-Rhip,b-Rh,b_Rh,continuous,-0.0150000000000001,-0.0645,-0.0466,1.5707963267949,0,3.14159265358979,body,0,0,1,,,,,,,,,,,,
